"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"GBP4",9.36632563611084e-44,2.22016113147205,0.955,0.594,1.65053390359545e-39
"IRF1",7.04765715813602e-39,1.91014076377594,0.98,0.641,1.24193814440673e-34
"B2M",7.30573506395739e-37,0.561575326724123,1,1,1.28741663297057e-32
"STAT1",6.26716026451281e-36,1.77591749505081,0.98,0.453,1.10439898181245e-31
"GBP5",2.23565613671983e-34,3.24631905906939,0.832,0.219,3.93967324412768e-30
"GBP1",2.80076457832927e-32,2.83829132085475,0.817,0.195,4.93550733993185e-28
"TAP1",9.72797120710475e-30,2.06227393462445,0.886,0.438,1.714263086116e-25
"PSMB9",3.11715623010227e-28,1.10473109348904,0.995,0.898,5.49305270868622e-24
"GBP2",5.87304037209993e-28,1.76877037185286,0.946,0.555,1.03494717437145e-23
"SOCS1",3.93476390784716e-23,2.27068035371893,0.792,0.312,6.93384095840826e-19
"TMSB10",8.29190872972981e-22,0.924727270406015,1,0.992,1.46120015635299e-17
"ISG20",8.1872953794591e-20,1.1680386063659,0.975,0.812,1.44276519176828e-15
"JUND",1.658393341085e-19,-1.27506997789341,0.777,0.938,2.92242074565999e-15
"UBE2L6",2.32677423031242e-19,1.40886777232645,0.896,0.57,4.10024154865655e-15
"WARS",2.26514423636824e-18,2.15664009301256,0.723,0.242,3.99163717332811e-14
"HLA-B",4.63073663870012e-18,0.430326112271377,1,1,8.16028410471736e-14
"CD79B",7.60069332139691e-17,-1.37401959951155,0.594,0.828,1.33939417709656e-12
"PSME1",9.60160690452643e-17,0.832598762602408,1,0.953,1.69199516871565e-12
"EPSTI1",4.41317859275105e-16,1.9304529376107,0.728,0.305,7.77690331614589e-12
"PSME2",4.52264104009221e-16,1.23585089862657,0.96,0.742,7.96979804085048e-12
"IFITM1",5.49226189602314e-16,1.12244896852176,0.856,0.43,9.67846391317197e-12
"PSMB8",1.2262535671634e-15,1.2212823847375,0.886,0.625,2.16090403605534e-11
"GPR183",3.42229106647887e-15,-2.32776119532017,0.168,0.586,6.03076131734906e-11
"TCAF2",7.10136600236788e-14,3.94759291841392,0.381,0.039,1.25140271693727e-09
"HLA-E",1.40368024059911e-13,0.647331712645111,1,0.977,2.47356531998376e-09
"TAP2",1.6390475512881e-13,1.51753482322235,0.743,0.414,2.88832959487989e-09
"CD52",3.94894825846883e-13,-1.03548161657645,0.797,0.953,6.95883662107378e-09
"FBXO6",8.45019808218575e-13,2.7841906814632,0.446,0.109,1.48909390604277e-08
"DTX3L",8.56183036195932e-13,2.23678695694954,0.54,0.156,1.50876574638447e-08
"RPL41",9.1805507543563e-13,-0.37363112526773,1,1,1.61779665393267e-08
"ADAM28",1.14918597781087e-12,-1.39049708190535,0.559,0.836,2.02509553009832e-08
"MT2A",4.91873831140053e-12,1.96039143720939,0.649,0.266,8.66780065235001e-08
"LTB",7.50982577503924e-12,-1.43572075501197,0.436,0.758,1.32338149807742e-07
"HLA-C",7.67118779725086e-12,0.438215084670121,1,1,1.35181671363155e-07
"AFF3",8.76261461428806e-11,-1.01976170252131,0.807,0.945,1.54414794732984e-06
"RPL35A",1.1396138956276e-10,-0.375281890466494,1,1,2.00822760687495e-06
"XRN1",1.14768928688382e-10,1.42514551780525,0.748,0.453,2.02245806134667e-06
"RPS29",1.20282409040795e-10,-0.484659805552448,0.99,0.992,2.11961661211689e-06
"LINC02576",1.78060776200892e-10,-6.39378203367343,0,0.164,3.13778699821212e-06
"VEGFB",2.20648102665962e-10,-2.58322657733151,0.099,0.367,3.88826086517958e-06
"RNF213",3.16192616509934e-10,1.19592998027735,0.767,0.438,5.57194628813806e-06
"ZFP36L2",8.17063963325867e-10,-1.14308615353532,0.594,0.82,1.43983011617284e-05
"TRIM22",1.90535389938054e-09,1.03953753080944,0.842,0.594,3.35761464148839e-05
"PARP9",3.03676160983569e-09,1.11066189175518,0.639,0.289,5.35138130885246e-05
