"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"TRDC",4.70177069621257e-10,-3.31944045290164,0.129,0.603,8.28546032086579e-06
"CD52",6.2548035640906e-06,-1.19707767371878,0.614,0.897,0.110222148406405
"BTG1",1.44415093435428e-05,-0.64177351808054,0.986,1,0.254488277651911
"CMC1",1.52776477885225e-05,-1.19074792121486,0.543,0.824,0.269222709329344
"AC008105.3",2.1287784706169e-05,-1.42999606120832,0.4,0.735,0.37513334209211
"SDE2",5.37863452194697e-05,4.81585908232946,0.171,0,0.947822975457495
"COX7A2",0.000150083462200098,0.528246323128514,0.929,0.647,1
"PDE7B",0.000324541373709279,-1.05266780843781,0.429,0.75,1
"RPL36A",0.000349194309275435,-0.501592334464475,0.986,1,1
"RAB38",0.000397612982986906,3.11941659385886,0.243,0.029,1
"MAP3K8",0.00041187044952002,1.27085233490065,0.686,0.5,1
"ADAP1",0.000438557701713959,-4.65458588294134,0,0.132,1
"WDR35",0.000438557701713963,-4.71883005865318,0,0.132,1
"GABARAPL2",0.000493394431531408,0.922423909314239,0.657,0.529,1
"RPS19",0.0005192255759624,-0.320376509079217,1,1,1
"WNT11",0.000586725540300059,2.23079421568763,0.329,0.074,1
"GLO1",0.00071155693911135,1.46868188916036,0.514,0.25,1
"HLA-B",0.000802500461516606,0.250131531469456,1,1,1
"TNFAIP3",0.000810109227192124,-1.31585347870235,0.286,0.588,1
"SH2D2A",0.000928427198217269,-0.896600446022999,0.671,0.676,1
"SYCE1L",0.000994890475604059,-4.39590486225278,0,0.118,1
"NEMP2",0.000994890475604064,-4.33380326018833,0,0.118,1
"APOBEC3H",0.000994890475604068,-4.38107598008091,0,0.118,1
"MT-ND3",0.00102499876469583,-0.385976496896727,1,1,1
"PPBP",0.00114717047979485,3.38705432033669,0.014,0.044,1
"HIST1H2AC",0.00136042093598704,0.768222013789822,0.414,0.176,1
"MMD",0.00144073777864598,3.0635117485036,0.186,0.015,1
"PGAM1",0.00165331504178985,0.935343119691701,0.643,0.456,1
"SELENOW",0.00172789143841164,1.07088945069824,0.614,0.368,1
"ZNF91",0.00175061595375517,-0.605502819703014,0.143,0.324,1
"PBDC1",0.00197603991699484,1.67133847122923,0.4,0.147,1
"CAMTA1",0.00208878506235154,1.75041624712986,0.357,0.132,1
"ENTPD1",0.00218045095560023,-3.48487401719637,0.014,0.176,1
"ZNF786",0.00224799100688462,-4.02752737479351,0,0.103,1
"ACACA",0.00224799100688464,-4.2391962729548,0,0.103,1
"MGAT2",0.00225893377804121,-3.25198299821013,0.014,0.176,1
"LACTB",0.00234710658550566,2.09853642956263,0.243,0.044,1
"WASHC3",0.00243817352232392,0.751907253153903,0.371,0.338,1
"ZNF622",0.00260263298640605,1.48379790271416,0.2,0.044,1
"RBFOX2",0.0026178901451351,-0.440747445328978,0.971,0.985,1
"CBL",0.00263383531820631,-2.43976374520294,0.043,0.235,1
"NDUFS5",0.00269709083665948,0.818799603196386,0.729,0.456,1
"WHRN",0.00272436742588339,-2.3414255722088,0.014,0.147,1
"APBB1IP",0.00274661563292336,-1.02619253663147,0.443,0.691,1
"APLF",0.0028151001091907,3.96547848213315,0.1,0,1
"IFNL1",0.00281510010919074,4.10356881472411,0.1,0,1
"METTL16",0.00307462262631161,0.103978560749172,0.114,0.191,1
"SMC3",0.00324373974680343,-0.63365055517932,0.157,0.353,1
"BTG2",0.00340554206880453,1.69909183940898,0.357,0.118,1
"SOCS1",0.00340981118659196,1.44959935374173,0.357,0.176,1
"ASB16-AS1",0.00343209301853848,-2.78082344195737,0.014,0.162,1
"MIER1",0.00377713544149618,0.692836373353699,0.357,0.324,1
"LY6E",0.0038424110419446,-0.800300968386322,0.686,0.75,1
"PIM1",0.00392764155231781,1.7451228604884,0.4,0.294,1
"BPTF",0.00402991801180871,-0.934318777623608,0.471,0.603,1
"STRADA",0.00412587280890176,-2.443506294447,0.043,0.191,1
"PLGRKT",0.00433097575114988,2.08705281299525,0.257,0.059,1
"PSPC1",0.00433839739550457,-0.462166367749437,0.1,0.221,1
"IER2",0.00472055606155097,0.939329335644535,0.743,0.662,1
"SKP1",0.00480483198602331,0.532130378367341,0.871,0.809,1
"ATXN1L",0.00506734272650517,-3.8403474664092,0,0.088,1
"VPS18",0.00506734272650522,-4.06423324124465,0,0.088,1
"ACVR2A",0.00506734272650522,-3.99399868308667,0,0.088,1
"ZNF724",0.00506734272650523,-3.69623749095839,0,0.088,1
"BMF",0.00506734272650525,-3.78152810473343,0,0.088,1
"PZP",0.00506734272650527,-4.09843117329029,0,0.088,1
"B3GNT7",0.00506734272650527,-4.01192478115383,0,0.088,1
"MCPH1-AS1",0.00506734272650531,-3.82715298416517,0,0.088,1
"BOD1L1",0.00515720609800163,-1.30867656400549,0.143,0.382,1
"ADD3",0.00524997028357034,-1.09033131520742,0.314,0.529,1
"ZNF136",0.00537392830438408,-2.39466432020131,0.029,0.191,1
"ZNF600",0.00543934779739939,-1.16796290913063,0.371,0.603,1
"DHPS",0.00546649770224747,1.26079582955516,0.429,0.235,1
"ACTN4",0.00548332658352019,-0.891100248264662,0.5,0.676,1
"AF165147.1",0.00551368019293801,-1.86437971319531,0.1,0.294,1
"HMGN2",0.00564154337572225,0.786649786941456,0.657,0.574,1
"ACAP1",0.00579182444548434,-0.742922499450292,0.529,0.75,1
"UBE2I",0.00610089300901636,0.442049245802233,0.843,0.603,1
"WIPF2",0.0061444801657996,4.29008974189919,0.086,0,1
"BRCA1",0.0061444801657996,3.72332701046574,0.086,0,1
"PAFAH1B3",0.00614448016579973,3.92041389928539,0.086,0,1
"SLC9B2",0.00614448016579973,3.83874564305259,0.086,0,1
"DDX31",0.00614448016579979,4.13652786806461,0.086,0,1
"CORO1C",0.0061444801657998,3.94070083599266,0.086,0,1
"FARP2",0.00614448016579987,4.00779143152804,0.086,0,1
"CCL5",0.00615397316344872,-1.22856133879196,0.457,0.588,1
"WAKMAR2",0.00632551058673081,-2.10386360749217,0.071,0.25,1
"FYB1",0.00639536875765558,-0.912975999415074,0.443,0.632,1
"P3H1",0.00639853062045294,-0.94719648792588,0.057,0.191,1
"GPSM3",0.00644026896598787,-0.792485221560128,0.529,0.735,1
"CUL3",0.00671181156387571,-1.00766759439728,0.329,0.588,1
"R3HCC1",0.00689920005448552,1.73444338855806,0.2,0.044,1
"CCDC43",0.00714154590599582,2.52143754446663,0.143,0.015,1
"RPL21",0.00731764817219205,-0.390205648656772,1,1,1
"SUGP1",0.00734421183743222,2.29000899043317,0.186,0.029,1
"CRY2",0.00734457600362721,2.55687896478244,0.186,0.029,1
"GAS5",0.00737109892234007,-0.657048782835892,0.729,0.809,1
"B3GLCT",0.00738094758224518,1.39171754559732,0.1,0.015,1
"ATP5MF",0.00780221726983044,0.681302997974223,0.686,0.574,1
"PRDM2",0.00781270542838474,-1.38086717627829,0.171,0.353,1
"NQO2",0.00782343737790011,2.56631235595055,0.186,0.029,1
"SYNRG",0.00795315286981082,-0.951217389840921,0.4,0.632,1
"PGLS",0.00797929286626503,0.457231153627872,0.586,0.353,1
"NBEAL1",0.00809196957731216,-1.64017903896978,0.1,0.309,1
"RNF168",0.0081683725334895,1.35400794357432,0.314,0.176,1
"CRELD2",0.0083076952017503,0.667160959068661,0.314,0.147,1
"CYC1",0.00857567615279836,1.14644134356778,0.471,0.25,1
"NDFIP1",0.00873061560175532,1.0615621109969,0.5,0.25,1
"SERF2",0.00875143806638954,0.388879592618539,1,0.971,1
"RPS29",0.00888565957455273,-0.500275808760344,0.929,0.985,1
"UBOX5",0.00900261895603436,2.49176239076273,0.143,0.015,1
"CTSD",0.00919404489029548,-0.710432956210138,0.614,0.794,1
"FXYD2",0.00921027206969353,-1.27824543838099,0.214,0.426,1
"MEF2A",0.00924039171582567,-1.28753338658,0.186,0.338,1
"RPS27",0.00925502526678422,-0.267907442931658,1,1,1
"SP4",0.00926848012328039,-1.82992551243338,0.057,0.235,1
"RABGGTB",0.00936825681886812,1.79273051508149,0.286,0.088,1
"HNRNPUL2",0.00939665011079569,-1.35796810677928,0.157,0.382,1
"COX14",0.00939698847762375,-0.326592339076728,0.243,0.397,1
"SNF8",0.00942918061875839,1.32875282187005,0.386,0.162,1
